State,Action,QValue
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest1),-2.051149
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Orc0),-1.773852
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-47.56438
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest3),-3.04189
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Mighty Dragon),-50.50084
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Skelleton1),-0.2287113
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Orc1),-9.757359
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Skelleton3),-4.698724
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest2),-7.622457
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Skelleton0),-0.4063417
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Skelleton2),-0.3638703
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Skelleton4),-0.1961415
HPState: 2; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),-0.006802132
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest0),-3.803591
HPState: 2; ManaState: 0; LevelState: 1,SwordAttack(Orc2),-2.549347
HPState: 2; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-7.721375
HPState: 2; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-5.682829
HPState: 2; ManaState: 0; LevelState: 1,LevelUp,1.944614
HPState: 2; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),-0.1016208
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),-4.464559
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),-4.647128
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton1),-0.1828583
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton2),-0.1454834
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),-5.033312
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-47.84822
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest3),-30.16648
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Skelleton3),-18.91245
HPState: 1; ManaState: 0; LevelState: 1,LevelUp,-3.979476
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Mighty Dragon),-51.68461
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Skelleton1),-11.78788
HPState: 1; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-19.72847
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest1),-30.76974
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Skelleton0),-10.96431
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest2),-15.03945
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Skelleton2),-7.825047
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Orc2),-60.4226
HPState: 1; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),-10.2005
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Orc0),-61.33688
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Orc1),-65.07029
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest0),-17.19058
HPState: 1; ManaState: 0; LevelState: 1,SwordAttack(Skelleton4),-20.82511
HPState: 1; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),-21.2148
HPState: 1; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-16.09055
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton2),-0.08435112
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),-0.1688836
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),-13.52063
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),-5.095544
HPState: 0; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),-9.276448
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Skelleton2),-13.98295
HPState: 0; ManaState: 0; LevelState: 1,PickUpChest(Chest1),-28.77408
HPState: 0; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-32.50492
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Skelleton1),-44.08157
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Orc0),-67.05244
HPState: 0; ManaState: 0; LevelState: 1,LevelUp,-21.28522
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Skelleton3),-51.66174
HPState: 0; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-50.15696
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Orc1),-45.4397
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Mighty Dragon),-50.69025
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Skelleton0),-42.58467
HPState: 0; ManaState: 0; LevelState: 1,PickUpChest(Chest2),-21.91223
HPState: 0; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-17.90498
HPState: 0; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),-13.04053
HPState: 0; ManaState: 0; LevelState: 1,PickUpChest(Chest3),-21.46293
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Orc2),-47.52929
HPState: 0; ManaState: 0; LevelState: 1,PickUpChest(Chest0),-15.01862
HPState: 0; ManaState: 0; LevelState: 1,SwordAttack(Skelleton4),-32.13633
HPState: 0; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),-0.055
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Skelleton0),-0.5776314
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Orc2),-12.91432
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-2.675336
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Orc0),-12.77732
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest2),-1.263571
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),0.2430939
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),-0.2175423
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),-3.221969
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Orc1),-17.05469
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),-0.7744406
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Skelleton1),-0.08674542
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-0.4533268
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Skelleton2),-0.05855065
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-49.75997
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-1.336938
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Mighty Dragon),-48.19859
HPState: 2; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion0),-0.035
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Skelleton3),-1.470948
HPState: 2; ManaState: 7; LevelState: 1,ShieldOfFaith,-0.1515057
HPState: 2; ManaState: 7; LevelState: 1,SwordAttack(Skelleton4),-1.769644
HPState: 2; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-1.874652
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest3),-2.321037
HPState: 2; ManaState: 7; LevelState: 1,LevelUp,-1.017741
HPState: 2; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-0.07957128
HPState: 2; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion1),0.08744343
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton4),-5.203613
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Mighty Dragon),-50.63814
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest2),-20.03341
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest0),-9.8691
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton1),-7.173664
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Skelleton2),-5.181489
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Orc2),-68.94491
HPState: 1; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion0),0
HPState: 1; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion0),-8.570727
HPState: 1; ManaState: 7; LevelState: 1,ShieldOfFaith,-0.03257574
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest3),-28.2996
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Skelleton0),-22.31507
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Skelleton3),-18.07849
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Orc0),-44.26305
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Orc1),-55.68843
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Skelleton4),-12.97273
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-50.67137
HPState: 1; ManaState: 7; LevelState: 1,PickUpChest(Chest1),-29.9931
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton3),-11.23094
HPState: 1; ManaState: 7; LevelState: 1,SwordAttack(Skelleton1),-6.662706
HPState: 1; ManaState: 7; LevelState: 1,GetManaPotion(ManaPotion1),0.0002242174
HPState: 1; ManaState: 7; LevelState: 1,GetHealthPotion(HealthPotion1),-6.255302
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),-2.374575
HPState: 1; ManaState: 7; LevelState: 1,LevelUp,-11.055
HPState: 1; ManaState: 7; LevelState: 1,DivineSmite(Skelleton2),-11.54113
HPState: 0; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion1),-7.239577
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest0),-0.4389843
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Skelleton2),-11.27932
HPState: 0; ManaState: 0; LevelState: 2,GetManaPotion(ManaPotion0),-4.416653
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest4),-39.77471
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Orc0),-14.32625
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Mighty Dragon),-29.46596
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Skelleton1),-9.062184
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest3),-17.35907
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Skelleton0),-9.127894
HPState: 0; ManaState: 0; LevelState: 2,PickUpChest(Chest1),-5.140405
HPState: 0; ManaState: 0; LevelState: 2,SwordAttack(Orc2),-12.59227
