State,Action,QValue
HPState: 2; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),16.76805
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest2),21.9096
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-30.04558
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest1),9.581676
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest0),22.75152
HPState: 2; ManaState: 0; LevelState: 1,PickUpChest(Chest3),15.44568
HPState: 2; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),14.30118
HPState: 2; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),13.15917
HPState: 2; ManaState: 0; LevelState: 1,LevelUp,28.17373
HPState: 2; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),9.713564
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton2),1.683482
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),2.4934
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),6.188605
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton1),9.223804
HPState: 2; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),1.979693
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest4),-50.37247
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest1),-32.25231
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest0),6.397122
HPState: 1; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion1),0.8045232
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest3),-32.06783
HPState: 1; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion0),-2.124556
HPState: 1; ManaState: 0; LevelState: 1,GetHealthPotion(HealthPotion0),-30.60778
HPState: 1; ManaState: 0; LevelState: 1,GetManaPotion(ManaPotion1),7.596953
HPState: 1; ManaState: 0; LevelState: 1,PickUpChest(Chest2),-0.3578552
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton2),-4.601106
HPState: 1; ManaState: 0; LevelState: 1,LevelUp,-2.156685
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton0),-5.022406
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton3),-4.760315
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton4),-11.9351
HPState: 1; ManaState: 0; LevelState: 1,DivineSmite(Skelleton1),-5.710819
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest4),-40.71746
HPState: 2; ManaState: 7; LevelState: 1,PickUpChest(Chest0),11.00317
HPState: 2; ManaState: 7; LevelState: 1,DivineSmite(Skelleton0),5.611991
HPState: 2; ManaState: 7; LevelState: 1,ShieldOfFaith,16.45774
